Timestamp,Temperature (°C),Humidity (%)
2024-09-05 16:39:34,22.5,99.0
2024-09-05 16:39:36,22.3,99.0
2024-09-05 16:39:38,22.2,99.0
2024-09-05 16:39:40,22.1,99.0
2024-09-05 16:39:42,22.0,99.0
2024-09-05 16:39:44,21.9,99.0
2024-09-05 16:39:46,21.8,99.0
2024-09-05 16:39:48,21.7,99.0
2024-09-05 16:39:50,21.6,99.0
2024-09-05 16:39:52,21.5,99.0
2024-09-05 16:39:54,21.4,99.0
2024-09-05 16:39:56,21.3,99.0
2024-09-05 16:39:58,21.2,99.0
2024-09-05 16:40:00,21.1,99.0
2024-09-05 16:40:02,21.1,99.0
2024-09-05 16:40:04,21.0,99.0
2024-09-05 16:40:06,20.9,99.0
2024-09-05 16:40:08,20.8,98.0
2024-09-05 16:40:10,20.7,98.0
2024-09-05 16:40:12,20.6,97.0
2024-09-05 16:40:14,20.6,97.0
2024-09-05 16:40:16,20.5,96.0
2024-09-05 16:40:18,20.5,96.0
2024-09-05 16:40:20,20.3,95.0
2024-09-05 16:40:22,20.3,95.0
2024-09-05 16:40:24,20.3,94.0
2024-09-05 16:40:26,20.2,94.0
2024-09-05 16:40:28,20.1,93.0
2024-09-05 16:40:30,20.0,93.0
2024-09-05 16:40:32,20.0,93.0
2024-09-05 16:40:34,19.9,93.0
2024-09-05 16:40:36,19.9,92.0
2024-09-05 16:40:38,19.8,92.0
2024-09-05 16:40:40,19.7,92.0
2024-09-05 16:40:42,19.7,91.0
2024-09-05 16:40:44,19.6,91.0
2024-09-05 16:40:46,19.5,91.0
2024-09-05 16:40:49,19.5,91.0
2024-09-05 16:40:51,19.5,90.0
2024-09-05 16:40:53,19.4,90.0
2024-09-05 16:40:55,19.4,90.0
2024-09-05 16:40:57,19.4,90.0
2024-09-05 16:40:59,19.3,90.0
2024-09-05 16:41:01,19.3,89.0
2024-09-05 16:41:03,19.2,89.0
2024-09-05 16:41:05,19.2,89.0
2024-09-05 16:41:07,19.1,89.0
2024-09-05 16:41:09,19.1,89.0
2024-09-05 16:41:11,19.0,88.0
2024-09-05 16:41:13,19.0,88.0
2024-09-05 16:41:15,19.0,88.0
2024-09-05 16:41:17,18.9,87.0
2024-09-05 16:41:19,18.9,87.0
2024-09-05 16:41:21,18.9,87.0
2024-09-05 16:41:23,18.8,87.0
2024-09-05 16:41:25,18.8,86.0
2024-09-05 16:41:27,18.7,86.0
2024-09-05 16:41:29,18.7,86.0
2024-09-05 16:41:31,18.7,86.0
2024-09-05 16:41:33,18.6,86.0
2024-09-05 16:41:35,18.6,85.0
2024-09-05 16:41:37,18.6,85.0
2024-09-05 16:41:39,18.6,85.0
2024-09-05 16:41:41,18.5,84.0
2024-09-05 16:41:43,18.5,84.0
2024-09-05 16:41:45,18.4,84.0
2024-09-05 16:41:47,18.4,83.0
2024-09-05 16:41:49,18.4,83.0
